0.000000e+00 -1.983188e-05 0.000000e+00 7.883423e-08 -1.983188e-05
4.000000e-03 -1.362152e-04 -6.162595e-20 4.830133e-07 -1.362152e-04
8.000000e-03 -4.387350e-04 -1.669048e-17 1.302123e-06 -4.387350e-04
1.200000e-02 -8.987933e-04 -4.709321e-16 1.998843e-06 -8.987933e-04
1.600000e-02 -1.342809e-03 -3.456696e-15 1.786017e-06 -1.342809e-03
2.000000e-02 -1.585410e-03 -1.001250e-14 5.161041e-07 -1.585410e-03
2.400000e-02 -1.552293e-03 -1.503887e-14 -1.213455e-06 -1.552293e-03
2.800000e-02 -1.289553e-03 -1.497183e-14 -2.688325e-06 -1.289553e-03
3.200000e-02 -9.063953e-04 -1.277141e-14 -3.448626e-06 -9.063953e-04
3.600000e-02 -5.187083e-04 -9.514052e-15 -3.245929e-06 -5.187083e-04
4.000000e-02 -2.098349e-04 -1.082959e-15 -2.118741e-06 -2.098349e-04
4.400000e-02 -5.579608e-06 1.434245e-14 -5.769962e-07 -5.579608e-06
4.800000e-02 1.214730e-04 3.153687e-14 6.577993e-07 1.214730e-04
5.200000e-02 2.151351e-04 4.313574e-14 1.242874e-06 2.151351e-04
5.600000e-02 3.018270e-04 4.563846e-14 1.337508e-06 3.018270e-04
6.000000e-02 3.899540e-04 4.055211e-14 1.174479e-06 3.899540e-04
6.400000e-02 4.836039e-04 3.182738e-14 7.987812e-07 4.836039e-04
6.800000e-02 5.806804e-04 2.297232e-14 2.636183e-07 5.806804e-04
7.200000e-02 6.663763e-04 1.616198e-14 -1.585960e-07 6.663763e-04
7.600000e-02 7.256663e-04 1.275875e-14 -1.571094e-07 7.256663e-04
8.000000e-02 7.605057e-04 1.314246e-14 2.701488e-07 7.605057e-04
8.400000e-02 7.835712e-04 1.606178e-14 8.084127e-07 7.835712e-04
8.800000e-02 7.993360e-04 1.921443e-14 1.163953e-06 7.993360e-04
9.200000e-02 8.039991e-04 2.056713e-14 1.281507e-06 8.039991e-04
9.600000e-02 8.003289e-04 1.937372e-14 1.219662e-06 8.003289e-04
1.000000e-01 7.971220e-04 1.623916e-14 9.934380e-07 7.971220e-04
1.040000e-01 7.938824e-04 1.221218e-14 6.030000e-07 7.938824e-04
1.080000e-01 7.807545e-04 7.904006e-15 7.518106e-08 7.807545e-04
1.120000e-01 7.556903e-04 3.290745e-15 -5.008216e-07 7.556903e-04
1.160000e-01 7.278718e-04 -1.455085e-15 -9.303511e-07 7.278718e-04
1.200000e-01 7.010049e-04 -5.049009e-15 -1.058358e-06 7.010049e-04
1.240000e-01 6.671002e-04 -6.157369e-15 -9.556569e-07 6.671002e-04
1.280000e-01 6.220784e-04 -5.207716e-15 -8.189643e-07 6.220784e-04
1.320000e-01 5.744558e-04 -3.989178e-15 -7.014581e-07 5.744558e-04
1.360000e-01 5.315272e-04 -3.533390e-15 -4.373840e-07 5.315272e-04
1.400000e-01 4.888056e-04 -3.155657e-15 1.048877e-07 4.888056e-04
1.440000e-01 4.412070e-04 -1.775173e-15 7.605747e-07 4.412070e-04
1.480000e-01 3.937140e-04 4.383465e-16 1.222513e-06 3.937140e-04
1.520000e-01 3.514225e-04 2.176938e-15 1.350129e-06 3.514225e-04
1.560000e-01 3.085512e-04 2.280514e-15 1.102889e-06 3.085512e-04
1.600000e-01 2.584048e-04 -6.434951e-17 4.146929e-07 2.584048e-04
1.640000e-01 2.064886e-04 -5.599483e-15 -6.201979e-07 2.064886e-04
1.680000e-01 1.617329e-04 -1.365634e-14 -1.704614e-06 1.617329e-04
1.720000e-01 1.212447e-04 -2.157623e-14 -2.537719e-06 1.212447e-04
1.760000e-01 7.655272e-05 -2.652894e-14 -2.871915e-06 7.655272e-05
1.800000e-01 2.963673e-05 -2.706498e-14 -2.569494e-06 2.963673e-05
1.840000e-01 -1.084325e-05 -2.323903e-14 -1.748785e-06 -1.084325e-05
1.880000e-01 -4.571966e-05 -1.635236e-14 -7.056811e-07 -4.571966e-05
1.920000e-01 -8.365906e-05 -8.708901e-15 3.271724e-07 -8.365906e-05
1.960000e-01 -1.249015e-04 -2.680746e-15 1.259416e-06 -1.249015e-04
2.000000e-01 -1.609019e-04 5.712142e-16 2.074478e-06 -1.609019e-04
2.040000e-01 -1.907134e-04 1.343348e-15 2.761118e-06 -1.907134e-04
2.080000e-01 -2.234794e-04 2.673910e-16 3.246975e-06 -2.234794e-04
2.120000e-01 -2.618714e-04 -3.040389e-15 3.373505e-06 -2.618714e-04
2.160000e-01 -2.967918e-04 -9.802354e-15 2.999614e-06 -2.967918e-04
2.200000e-01 -3.229558e-04 -2.018862e-14 2.148969e-06 -3.229558e-04
2.240000e-01 -3.465614e-04 -3.227804e-14 9.831539e-07 -3.465614e-04
2.280000e-01 -3.717684e-04 -4.337377e-14 -3.535825e-07 -3.717684e-04
2.320000e-01 -3.921782e-04 -5.149243e-14 -1.720121e-06 -3.921782e-04
2.360000e-01 -4.032636e-04 -5.561038e-14 -2.871113e-06 -4.032636e-04
2.400000e-01 -4.119485e-04 -5.565747e-14 -3.518206e-06 -4.119485e-04
2.440000e-01 -4.244344e-04 -5.245751e-14 -3.424818e-06 -4.244344e-04
2.480000e-01 -4.340157e-04 -4.659739e-14 -2.504155e-06 -4.340157e-04
2.520000e-01 -4.314261e-04 -3.705390e-14 -1.061776e-06 -4.314261e-04
2.560000e-01 -4.191985e-04 -2.336557e-14 1.842053e-07 -4.191985e-04
2.600000e-01 -4.047722e-04 -9.347973e-15 6.319097e-07 -4.047722e-04
